Iteration,Loss,Accuracy
0,0.12944596,0.25590035
50,0.029070193,0.4933348
100,0.024761727,0.57353586
150,0.022720203,0.6028191
200,0.021468733,0.62958914
250,0.021012379,0.63822114
300,0.02062754,0.6511145
350,0.021013223,0.6479458
400,0.020612938,0.6565778
450,0.020347875,0.67198426
500,0.020318663,0.6777753
550,0.020717978,0.68258303
600,0.02075351,0.68291086
650,0.02133476,0.6849869
700,0.021093138,0.6963505
750,0.021552945,0.6964598
800,0.021468459,0.69460225
850,0.021375677,0.69820803
900,0.022711907,0.6906687
950,0.022046832,0.6967876
